time_days,dt_days,newton_iterations,residual_norm,p_min_bar,p_max_bar
10.0,10.0,2,9.846632739753135e-14,206.5695007793664,218.17113068169186
20.0,10.0,1,8.133320092993135e-09,202.13256362188727,213.58679942672435
30.0,10.0,1,3.5133152371526226e-09,199.3395196887608,209.97326275007777
40.0,10.0,1,1.7986290794983911e-09,197.38334796039197,207.35433384768075
50.0,10.0,1,9.187577348256855e-10,195.9904865545613,205.47974640787422
60.0,10.0,1,4.687754831152197e-10,194.9962653384447,204.1405903877362
70.0,10.0,1,2.392370071646322e-10,194.28635190803857,203.1842613789971
80.0,10.0,1,1.222083436175696e-10,193.77943366139792,202.5013755543244
90.0,10.0,1,6.254920219848519e-11,193.41747155213474,202.01376340095956
100.0,10.0,1,3.203076460766073e-11,193.15901900099004,201.66559254111056
110.0,10.0,1,1.639924429821676e-11,192.9744780084392,201.41699062832686
120.0,10.0,1,8.512312382427724e-12,192.8427127942284,201.23948489749185
130.0,10.0,1,4.491124062938274e-12,192.74863096776895,201.11274383573536
140.0,10.0,1,2.3878359105187624e-12,192.68145582197275,201.02224974721446
150.0,10.0,1,1.3491383431972631e-12,192.63349241907378,200.95763649707203
160.0,10.0,1,8.241310209257543e-13,192.59924638560653,200.91150241684807
170.0,10.0,1,4.790871077861928e-13,192.5747946433462,200.87856258363993
180.0,10.0,1,3.119103076997395e-13,192.55733606808866,200.85504350044963
190.0,10.0,1,2.545867513123444e-13,192.54487063424372,200.8382508601781
200.0,10.0,0,8.829813100789014e-08,192.54487063424372,200.8382508601781
