well,cell,i,j,k,well_index,status,skin,segment,label
PROD_A,475,27,14,0,3.0392111935134445e-12,open,0.0,0,PROD_A:0
PROD_A,1115,27,14,1,3.1619614412161356e-12,open,0.0,1,PROD_A:1
PROD_A,1755,27,14,2,1.5036782052743127e-12,open,0.0,2,PROD_A:2
PROD_A,2395,27,14,3,1.4811312606666779e-12,open,0.0,3,PROD_A:3
PROD_A,3035,27,14,4,7.366547964472364e-13,open,0.0,4,PROD_A:4
PROD_A,3675,27,14,5,6.199721621030939e-13,open,0.0,5,PROD_A:5
PROD_A,4315,27,14,6,2.795743033741904e-13,open,0.0,6,PROD_A:6
PROD_A,4955,27,14,7,2.497745486608388e-13,open,0.0,7,PROD_A:7
INJ_A,132,4,4,0,2.8998544378678705e-12,open,0.0,0,INJ_A:0
INJ_A,772,4,4,1,2.9127922187905105e-12,open,0.0,1,INJ_A:1
INJ_A,1412,4,4,2,1.181083505261815e-12,open,0.0,2,INJ_A:2
INJ_A,2052,4,4,3,1.1787070747839312e-12,open,0.0,3,INJ_A:3
INJ_A,2692,4,4,4,5.313626792742342e-13,open,0.0,4,INJ_A:4
INJ_A,3332,4,4,5,5.19064420094526e-13,open,0.0,5,INJ_A:5
INJ_A,3972,4,4,6,2.436595272255977e-13,open,0.0,6,INJ_A:6
INJ_A,4612,4,4,7,2.4051865618667676e-13,open,0.0,7,INJ_A:7
PROD_H,2191,15,8,3,5.252422707249298e-13,open,0.0,0,PROD_H:0
PROD_H,2192,16,8,3,5.252422707249298e-13,open,0.0,1,PROD_H:1
PROD_H,2193,17,8,3,5.252422707249298e-13,open,0.0,2,PROD_H:2
PROD_H,2194,18,8,3,5.252422707249298e-13,open,0.0,3,PROD_H:3
PROD_H,2195,19,8,3,5.252422707249298e-13,open,0.0,4,PROD_H:4
PROD_H,2196,20,8,3,5.252422707249298e-13,open,0.0,5,PROD_H:5
PROD_H,2197,21,8,3,5.252422707249298e-13,open,0.0,6,PROD_H:6
PROD_H,2198,22,8,3,5.252422707249298e-13,open,0.0,7,PROD_H:7
PROD_H,2199,23,8,3,2.626211353624649e-12,open,0.0,8,PROD_H:8
PROD_H,2200,24,8,3,2.626211353624649e-12,open,0.0,9,PROD_H:9
PROD_H,2201,25,8,3,2.626211353624649e-12,open,0.0,10,PROD_H:10
PROD_H,2202,26,8,3,2.626211353624649e-12,open,0.0,11,PROD_H:11
PROD_H,2203,27,8,3,2.626211353624649e-12,open,0.0,12,PROD_H:12
PROD_H,2204,28,8,3,2.626211353624649e-12,open,0.0,13,PROD_H:13
PROD_H,2205,29,8,3,2.626211353624649e-12,open,0.0,14,PROD_H:14
